
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.95 (shown are averages)
------------------------------
            eval-loss   lower-CI    upper-CI  n-seeds  train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config392    3.348110   3.019544    3.676677      100   0.002272       0.021371        1.427608     5.331803         9.546343       5.128317           5.618172        5.077445            4.636129       5.026574           3.654087        5.009617            3.326739     4.992659         2.999391
config473    3.368446   3.029520    3.707373      100   0.013896       0.075800        1.400822     4.978674         8.469945       5.034036           5.200072        5.047877            4.382604       5.061718           3.565136        5.066331            3.292646     5.070945         3.020157
config140    3.375937   3.024874    3.726999      100   0.003771       0.231028        1.766555     5.061513        10.462480       5.016056           5.840856        5.004692            4.685450       4.993327           3.530044        4.989539            3.144909     4.985751         2.759773
config197    3.386152   3.038607    3.733697      100   0.149415       0.400539        1.255028     4.994289        10.131813       4.891794           5.618424        4.866170            4.490076       4.840546           3.361729        4.832005            2.985613     4.823464         2.609497
config228    3.386760   3.010049    3.763472      100   0.009349       0.076240        1.673764     5.769276        10.329632       5.470040           5.896509        5.395231            4.788228       5.320422           3.679947        5.295486            3.310520     5.270550         2.941093
config259    3.387484   3.050678    3.724291      100   0.004965       0.001480        1.087884     5.539359         8.897045       5.306424           5.416388        5.248190            4.546223       5.189956           3.676059        5.170545            3.386004     5.151134         3.095950
config377    3.389295   3.010842    3.767748      100   0.043585       0.044833        1.607901     4.946376         8.420206       4.809705           5.214473        4.775537            4.413039       4.741369           3.611606        4.729980            3.344462     4.718591         3.077317
config87     3.394572   3.013683    3.775461      100   0.055935       0.088524        1.342681     5.448574        11.435589       5.550574           6.301141        5.576074            5.017530       5.601574           3.733918        5.610074            3.306047     5.618574         2.878177
config428    3.397661   3.069808    3.725514      100   0.003383       0.010112        1.136883     5.467198        10.209517       5.185074           5.900905        5.114544            4.823752       5.044013           3.746600        5.020502            3.387549     4.996992         3.028498
config100    3.399990   3.075884    3.724097      100   0.005585       0.015274        0.826664     5.670697        10.214842       5.278219           5.901079        5.180100            4.822638       5.081981           3.744197        5.049274            3.384716     5.016568         3.025236
config48     3.401275   3.044753    3.757796      100   0.025153       0.034996        1.206087     5.182933         8.861851       4.932862           5.390963        4.870344            4.523242       4.807827           3.655520        4.786987            3.366279     4.766148         3.077039
config431    3.404261   3.029137    3.779385      100   0.159091       0.142448        1.146075     5.056510         9.292660       4.980920           5.483704        4.962022            4.531465       4.943125           3.579226        4.936826            3.261813     4.930527         2.944400
config217    3.420165   3.038335    3.801995      100   0.006296       0.060325        1.745637     5.469241         9.963186       5.300326           5.792652        5.258097            4.750018       5.215869           3.707385        5.201792            3.359840     5.187716         3.012296
config277    3.427494   3.050641    3.804346      100   0.498867       0.197411        1.584404     5.782859        11.682514       5.363238           6.344136        5.258333            5.009542       5.153427           3.674947        5.118459            3.230082     5.083491         2.785217
config393    3.448479   3.051150    3.845808      100   0.082934       0.069294        1.498585     5.083110         8.881056       4.993171           5.406190        4.970686            4.537473       4.948201           3.668757        4.940707            3.379185     4.933212         3.089612
config111    3.455023   3.134075    3.775972      100   0.002210       0.006582        1.360660     5.800813        10.103278       5.494416           5.900223        5.417817            4.849459       5.341218           3.798695        5.315685            3.448441     5.290152         3.098186
config84     3.456331   3.080246    3.832415      100   0.033927       0.124365        1.484533     5.165040         9.131109       4.982526           5.468492        4.936898            4.552838       4.891269           3.637184        4.876060            3.331965     4.860850         3.026747
config438    3.461377   3.066899    3.855855      100   0.002858       0.049986        1.607761     5.339420         9.702579       5.178063           5.729197        5.137724            4.735851       5.097385           3.742506        5.083939            3.411391     5.070492         3.080276
config318    3.461646   3.087851    3.835442      100   0.164308       0.113322        1.528595     5.301835         9.277079       4.820040           5.532602        4.699591            4.596483       4.579142           3.660364        4.538993            3.348324     4.498843         3.036284
config103    3.461856   3.084966    3.838746      100   0.031993       0.089046        0.909012     4.797638         8.067682       4.942827           5.102500        4.979125            4.361205       5.015422           3.619909        5.027521            3.372811     5.039621         3.125712
config28     3.480647   3.134731    3.826563      100   0.126890       0.077687        0.775237     5.313459         8.978952       5.265169           5.457272        5.253097            4.576853       5.241024           3.696433        5.237000            3.402960     5.232976         3.109486
config364    3.485942   3.092512    3.879373      100   0.006963       0.026108        1.506554     5.308836         9.483308       5.128352           5.679009        5.083232            4.727934       5.038111           3.776859        5.023071            3.459835     5.008030         3.142810
config320    3.486498   3.100477    3.872519      100   0.009434       0.016979        1.687533     5.083608         8.058818       4.934803           5.160313        4.897601            4.435687       4.860400           3.711061        4.848000            3.469519     4.835599         3.227977
config176    3.490753   3.092606    3.888899      100   0.150398       0.117879        1.151838     5.088604         8.690110       5.020727           5.331855        5.003758            4.492291       4.986789           3.652728        4.981132            3.372873     4.975476         3.093019
config151    3.494615   3.153357    3.835872      100   0.010538       0.008883        0.986498     5.078817         8.946182       5.109051           5.497476        5.116610            4.635300       5.124168           3.773124        5.126688            3.485732     5.129207         3.198339
config257    3.495802   3.157571    3.834033      100   0.009896       0.084138        1.489357     5.673411        11.702283       5.529271           6.466103        5.493236            5.157058       5.457201           3.848013        5.445190            3.411664     5.433178         2.975316
config69     3.520427   3.114195    3.926660      100   0.004366       0.024858        1.670801     5.061368         8.742857       4.936629           5.428781        4.905445            4.600262       4.874260           3.771742        4.863865            3.495569     4.853471         3.219396
config296    3.524156   3.160549    3.887764      100   0.001169       0.028908        0.851883     5.548270         8.513394       5.142647           5.344039        5.041241            4.551700       4.939836           3.759361        4.906034            3.495248     4.872232         3.231135
config239    3.526696   3.147037    3.906356      100   0.078641       0.065104        1.636101     5.048475         7.971101       4.711169           5.122991        4.626842            4.410963       4.542515           3.698935        4.514407            3.461593     4.486298         3.224250
config50     3.536239   3.135067    3.937410      100   0.587810       0.198033        1.755101     5.980445        11.073748       5.499190           6.188142        5.378877            4.966741       5.258563           3.745339        5.218459            3.338205     5.178354         2.931072
config421    3.540778   3.188231    3.893325      100   0.004441       0.013916        1.193704     5.266852         9.493364       5.090365           5.725047        5.046243            4.782967       5.002121           3.840888        4.987414            3.526862     4.972707         3.212835
config152    3.542827   3.168468    3.917187      100   0.028299       0.104863        0.970755     4.757211         7.603396       4.864847           4.972597        4.891756            4.314897       4.918665           3.657197        4.927635            3.437964     4.936605         3.218731
config309    3.556442   3.150221    3.962664      100   0.134857       0.153279        1.332627     5.088801         8.938566       5.026250           5.442522        5.010612            4.568511       4.994975           3.694500        4.989762            3.403163     4.984549         3.111826
config9      3.565133   3.187841    3.942425      100   0.462516       0.252412        1.193161     5.740639        12.741386       5.516372           6.786439        5.460305            5.297703       5.404238           3.808966        5.385549            3.312721     5.366860         2.816475
config253    3.574634   3.218008    3.931259      100   0.002507       0.017985        1.385946     5.164035         8.186443       5.275708           5.262363        5.303626            4.531343       5.331545           3.800322        5.340851            3.556649     5.350157         3.312976
config99     3.580507   3.193395    3.967619      100   0.275410       0.158197        0.885876     5.073382         8.200208       4.793530           5.182588        4.723567            4.428183       4.653605           3.673778        4.630284            3.422310     4.606963         3.170842
config29     3.582744   3.179327    3.986160      100   0.035102       0.061794        1.786155     4.996982         8.284921       4.820776           5.276097        4.776724            4.523891       4.732673           3.771685        4.717989            3.520950     4.703305         3.270215
config500    3.583856   3.203459    3.964254      100   0.600057       0.222293        1.604871     5.972621        11.620601       5.546214           6.404366        5.439612            5.100308       5.333010           3.796249        5.297476            3.361563     5.261942         2.926877
config193    3.584202   3.196828    3.971575      100   0.026068       0.063817        1.485968     5.143962         8.849461       4.994289           5.483729        4.956870            4.642295       4.919452           3.800862        4.906979            3.520385     4.894507         3.239907
config406    3.602876   3.194760    4.010991      100   0.002967       0.062389        1.603396     5.422679         9.715266       5.122444           5.815405        5.047385            4.840440       4.972326           3.865475        4.947307            3.540487     4.922287         3.215498
config361    3.606180   3.237982    3.974378      100   0.006350       0.030279        1.344965     4.933463         8.285257       4.956155           5.310926        4.961827            4.567344       4.967500           3.823761        4.969391            3.575900     4.971282         3.328039
config30     3.607864   3.215377    4.000351      100   0.002062       0.015546        1.323017     5.263197         8.422729       4.940663           5.371943        4.860029            4.609247       4.779396           3.846550        4.752518            3.592318     4.725640         3.338086
config432    3.609308   3.246743    3.971873      100   0.002744       0.005873        1.113786     5.163229         8.000640       5.147034           5.223458        5.142985            4.529162       5.138937           3.834867        5.137587            3.603435     5.136237         3.372003
config144    3.616636   3.219507    4.013765      100   0.170804       0.091980        1.906766     4.828796         7.549875       4.837378           5.007631        4.839523            4.372070       4.841669           3.736509        4.842384            3.524656     4.843099         3.312802
config12     3.619438   3.212872    4.026003      100   0.713615       0.238615        1.193543     5.771392        11.060309       5.420762           6.210107        5.333104            4.997556       5.245447           3.785006        5.216228            3.380822     5.187008         2.976639
config79     3.628844   3.280068    3.977621      100   0.024863       0.013347        0.839726     5.576996         8.553624       5.464991           5.434807        5.436990            4.655103       5.408989           3.875398        5.399655            3.615497     5.390322         3.355596
config446    3.636012   3.265781    4.006243      100   0.009824       0.408305        2.058924     5.805010        11.369568       5.594896           6.227340        5.542368            4.941783       5.489839           3.656225        5.472330            3.227706     5.454820         2.799187
config37     3.637297   3.260523    4.014071      100   0.002399       0.096328        1.651117     5.309692         9.456619       5.149046           5.720419        5.108884            4.786369       5.068722           3.852319        5.055335            3.540969     5.041948         3.229619
config74     3.637486   3.231655    4.043316      100   0.048589       0.056906        1.399257     4.737291         6.991745       4.691503           4.837325        4.680056            4.298720       4.668609           3.760115        4.664793            3.580580     4.660978         3.401045
config190    3.641112   3.289246    3.992978      100   0.001568       0.288126        1.395950     5.153395         9.071960       5.255726           5.459976        5.281309            4.556980       5.306891           3.653984        5.315419            3.352986     5.323946         3.051987
config194    3.656841   3.243882    4.069801      100   0.000727       0.017593        1.970215     5.695617         9.656450       5.115295           5.856112        4.970215            4.906028       4.825134           3.955943        4.776774            3.639249     4.728414         3.322554
config234    3.664113   3.259250    4.068976      100   0.034638       0.140028        1.073875     5.090789         8.573428       4.853334           5.384369        4.793971            4.587105       4.734607           3.789840        4.714819            3.524085     4.695031         3.258330
config54     3.665383   3.308682    4.022084      100   0.003586       0.026090        1.376390     5.497479         9.233144       5.278333           5.700185        5.223546            4.816946       5.168759           3.933706        5.150497            3.639293     5.132235         3.344880
config327    3.665980   3.268146    4.063814      100   0.001276       0.016655        1.522475     5.502195         9.537645       5.208371           5.818706        5.134915            4.888971       5.061459           3.959236        5.036974            3.649325     5.012489         3.339413
config4      3.666835   3.268205    4.065464      100   0.252735       0.113382        1.818031     5.635788        11.112408       5.502271           6.338331        5.468892            5.144812       5.435512           3.951292        5.424386            3.553452     5.413260         3.155613
config14     3.668231   3.311836    4.024626      100   0.001193       0.004796        1.684590     5.660538         9.712368       5.315547           5.891989        5.229299            4.936894       5.143051           3.981800        5.114302            3.663435     5.085553         3.345070
config340    3.673776   3.322508    4.025043      100   0.008664       0.014956        0.790498     5.150382         8.948453       5.088778           5.607632        5.073377            4.772427       5.057977           3.937221        5.052843            3.658820     5.047709         3.380418
config425    3.685190   3.323535    4.046846      100   0.003252       0.250115        0.946900     5.909380         9.349497       5.355811           5.614073        5.217419            4.680217       5.079027           3.746361        5.032896            3.435076     4.986765         3.123790
config350    3.687495   3.243895    4.131096      100   0.003504       0.029580        1.345795     4.764462         7.449325       4.831308           5.054750        4.848020            4.456107       4.864731           3.857463        4.870302            3.657915     4.875873         3.458367
config167    3.690493   3.281307    4.099679      100   0.641378       0.281742        1.833819     6.010100        11.828294       5.674073           6.510687        5.590066            5.181286       5.506060           3.851884        5.478058            3.408751     5.450055         2.965617
config288    3.698719   3.275337    4.122101      100   0.007316       0.080168        1.327032     5.183717         7.764216       4.978448           5.145901        4.927131            4.491322       4.875813           3.836743        4.858707            3.618550     4.841602         3.400358
config300    3.715285   3.334728    4.095842      100   0.008258       0.191331        1.325335     5.220273         7.690555       5.092628           5.059018        5.060716            4.401133       5.028805           3.743249        5.018167            3.523954     5.007530         3.304660
config380    3.715539   3.337287    4.093791      100   0.018179       0.093827        1.458476     5.650014        10.059882       5.371495           5.993669        5.301866            4.977116       5.232236           3.960563        5.209026            3.621712     5.185816         3.282861
config97     3.717800   3.348049    4.087551      100   0.001004       0.165039        1.771220     5.446374         7.817219       4.998204           5.123877        4.886162            4.450542       4.774119           3.777207        4.736772            3.552761     4.699424         3.328316
config416    3.720107   3.320202    4.120011      100   0.002767       0.051569        1.359312     5.095094         7.161881       4.996376           4.955559        4.971696            4.403978       4.947017           3.852397        4.938790            3.668537     4.930564         3.484677
config497    3.725482   3.299302    4.151662      100   0.012942       0.252678        1.090079     4.929092         8.126956       4.948336           5.187491        4.953147            4.452625       4.957958           3.717759        4.959562            3.472804     4.961165         3.227849
config226    3.736823   3.398098    4.075547      100   0.023796       0.171348        1.098519     5.385561         9.026620       5.348785           5.577475        5.339591            4.715189       5.330397           3.852903        5.327333            3.565474     5.324268         3.278046
config447    3.739906   3.312731    4.167082      100   0.544304       0.311362        1.429989     5.684716        11.492029       5.437456           6.399302        5.375641            5.126120       5.313826           3.852939        5.293221            3.428545     5.272616         3.004151
config388    3.747250   3.361282    4.133218      100   0.004703       0.054645        1.724303     4.904920         7.777732       5.173397           5.197652        5.240517            4.552632       5.307636           3.907611        5.330009            3.692605     5.352382         3.477598
config478    3.754832   3.369464    4.140200      100   0.012883       0.087416        0.769664     5.148527         7.587644       5.255545           5.111710        5.282300            4.492727       5.309054           3.873743        5.317972            3.667416     5.326891         3.461088
config470    3.766723   3.338208    4.195238      100   0.606048       0.558090        1.800959     5.850473        12.999600       5.409527           6.815832        5.299291            5.269889       5.189054           3.723947        5.152309            3.208633     5.115563         2.693319
config345    3.773509   3.346342    4.200676      100   0.753301       0.478910        1.685192     5.946943        12.836787       5.460716           6.810142        5.339159            5.303481       5.217602           3.796819        5.177083            3.294599     5.136564         2.792378
config407    3.775547   3.359547    4.191547      100   0.241014       0.139707        1.312603     5.048200         7.631230       4.837973           5.107826        4.785416            4.476975       4.732859           3.846124        4.715340            3.635840     4.697821         3.425556
config337    3.777226   3.351767    4.202686      100   0.019942       0.072066        1.383009     4.966456         7.112380       4.770788           4.960452        4.721871            4.422470       4.672954           3.884488        4.656648            3.705160     4.640343         3.525833
config208    3.780224   3.402036    4.158413      100   0.016792       0.096363        1.926191     4.874064         7.394020       5.028539           5.050762        5.067158            4.464947       5.105777           3.879133        5.118650            3.683861     5.131522         3.488590
config376    3.784472   3.377486    4.191458      100   0.009692       0.046734        1.352148     5.480244         8.539273       5.197441           5.506725        5.126740            4.748588       5.056039           3.990451        5.032472            3.737738     5.008906         3.485026
config92     3.812741   3.404499    4.220983      100   0.752925       0.419095        1.506263     6.004425        13.261858       5.731646           7.029303        5.663451            5.471165       5.595256           3.913026        5.572524            3.393646     5.549793         2.874267
config56     3.818143   3.455095    4.181191      100   0.001340       0.051826        1.179480     5.629024         9.014797       5.237059           5.699968        5.139068            4.871261       5.041077           4.042553        5.008413            3.766318     4.975750         3.490082
config458    3.823368   3.325396    4.321340      100   0.689002       0.902904        2.209802     6.677106        21.626988       5.595297           9.812341        5.324844            6.858680       5.054392           3.905018        4.964241            2.920464     4.874090         1.935910
config498    3.825087   3.426766    4.223409      100   0.027258       0.260795        1.181323     5.900783        10.377470       5.618217           6.074410        5.547575            4.998645       5.476933           3.922880        5.453386            3.564292     5.429839         3.205703
config139    3.828316   3.387079    4.269552      100   0.179171       0.127926        0.733958     5.075254         7.449610       4.840856           5.081681        4.782256            4.489699       4.723656           3.897717        4.704123            3.700390     4.684590         3.503062
config68     3.828895   3.414149    4.243642      100   0.704889       0.353733        1.616371     5.730818        11.199675       5.606255           6.321036        5.575114            5.101376       5.543973           3.881716        5.533593            3.475163     5.523213         3.068609
config305    3.869123   3.488633    4.249614      100   0.037182       0.226334        1.447912     6.096316        11.717392       5.757765           6.617643        5.673128            5.342706       5.588490           4.067769        5.560277            3.642790     5.532065         3.217810
config173    3.872884   3.446964    4.298804      100   0.003507       0.012922        1.665807     5.232654         7.889788       5.055705           5.344635        5.011468            4.708346       4.967231           4.072058        4.952485            3.859962     4.937739         3.647866
config19     3.876235   3.461397    4.291073      100   0.046737       0.518159        0.994102     5.817409        10.700696       5.672099           6.063252        5.635772            4.903891       5.599444           3.744530        5.587335            3.358076     5.575226         2.971622
config95     3.880363   3.436520    4.324206      100   0.334243       0.216558        1.310200     5.364120         8.548638       5.062764           5.463481        4.987425            4.692191       4.912086           3.920902        4.886973            3.663805     4.861860         3.406709
config261    3.882223   3.416564    4.347882      100   0.005893       0.342733        1.777686     5.400935         9.094888       5.229708           5.586216        5.186901            4.709048       5.144094           3.831880        5.129825            3.539490     5.115556         3.247101
config281    3.886281   3.499841    4.272720      100   0.002365       0.349397        0.946550     5.692954         9.253671       5.300024           5.643069        5.201792            4.740418       5.103559           3.837767        5.070815            3.536884     5.038071         3.236000
config402    3.887598   3.406927    4.368268      100   0.030707       0.318444        1.700939     5.475563         8.663383       5.345549           5.445975        5.313045            4.641623       5.280542           3.837272        5.269707            3.569154     5.258873         3.301037
config443    3.889747   3.449164    4.330330      100   0.005760       0.210374        1.215345     4.664702         7.749733       4.735507           5.178980        4.753208            4.536291       4.770909           3.893603        4.776810            3.679374     4.782710         3.465144
config43     3.889832   3.483179    4.296485      100   0.064601       0.320339        1.340537     4.821080         8.260966       5.100557           5.297930        5.170427            4.557171       5.240296           3.816412        5.263586            3.569493     5.286875         3.322573
config310    3.892753   3.488506    4.297000      100   0.026070       0.177961        0.995287     5.111280         7.947575       5.098032           5.274239        5.094720            4.605905       5.091408           3.937571        5.090304            3.714793     5.089200         3.492015
config346    3.911074   3.472698    4.349449      100   0.167881       0.114864        1.142613     4.783852         7.114501       4.842322           5.018738        4.856940            4.494797       4.871558           3.970856        4.876430            3.796210     4.881303         3.621563
config255    3.920739   3.505370    4.336108      100   0.004973       0.022430        1.061128     5.715220         8.833775       5.310098           5.716638        5.208817            4.937354       5.107537           4.158070        5.073777            3.898309     5.040016         3.638547
config454    3.921146   3.477845    4.364446      100   0.290131       0.191047        1.709531     5.086018         7.393373       4.818731           5.079726        4.751909            4.501314       4.685087           3.922902        4.662813            3.730098     4.640539         3.537294
config373    3.924906   3.521806    4.328006      100   0.004707       0.175251        2.135129     5.312228         7.694829       5.279581           5.203140        5.271419            4.580218       5.263257           3.957296        5.260536            3.749655     5.257816         3.542014
